DS_CODE,DISTRICT_N,DSD,pden
20,Anuradhapura,Galenbindunuwewa,174.4
21,Anuradhapura,Galnewa,272
22,Anuradhapura,Horowpothana,47.3
23,Anuradhapura,Ipalogama,285.6
24,Anuradhapura,Kahatagasdigiliya,124.3
25,Anuradhapura,Kebithigollewa,39.2
26,Anuradhapura,Kekirawa,193.3
27,Anuradhapura,Mahavilachchiya,38.2
28,Anuradhapura,Medawachchiya,105.1
29,Anuradhapura,Mihinthale,167.2
30,Anuradhapura,Nachchadoowa,315.1
31,Anuradhapura,Nochchiyagama,66.3
32,Anuradhapura,Nuwaragam Palatha Central,164.1
33,Anuradhapura,Nuwaragam Palatha East,827.8
34,Anuradhapura,Padaviya,103.5
35,Anuradhapura,Palagala,163.2
36,Anuradhapura,Palugaswewa,83.7
37,Anuradhapura,Rajanganaya,358.7
38,Anuradhapura,Rambewa,128.6
39,Anuradhapura,Thalawa,266.8
40,Anuradhapura,Thambuttegama,405.6
41,Anuradhapura,Thirappane,99.4
269,Polonnaruwa,Dimbulagala,147.1
270,Polonnaruwa,Elahera,129.7
271,Polonnaruwa,Hingurakgoda,97.3
272,Polonnaruwa,Lankapura,198
273,Polonnaruwa,Medirigiriya,122.7
274,Polonnaruwa,Thamankaduwa,189.9
